                   x               P1(x)               P3(x)               P5(x)               P7(x)
                  -1                  -1                  -1                  -1                  -1
             -0.9998                  -1              -0.999              -0.997              -0.994
             -0.9996                  -1              -0.998              -0.994              -0.989
             -0.9994              -0.999              -0.996              -0.991              -0.983
             -0.9992              -0.999              -0.995              -0.988              -0.978
              -0.999              -0.999              -0.994              -0.985              -0.972
             -0.9988              -0.999              -0.993              -0.982              -0.967
             -0.9986              -0.999              -0.992              -0.979              -0.961
             -0.9984              -0.998               -0.99              -0.976              -0.956
             -0.9982              -0.998              -0.989              -0.973               -0.95
              -0.998              -0.998              -0.988               -0.97              -0.945
             -0.9978              -0.998              -0.987              -0.967              -0.939
             -0.9976              -0.998              -0.986              -0.964              -0.934
             -0.9974              -0.997              -0.984              -0.961              -0.928
             -0.9972              -0.997              -0.983              -0.958              -0.923
              -0.997              -0.997              -0.982              -0.955              -0.918
             -0.9968              -0.997              -0.981              -0.953              -0.912
             -0.9966              -0.997               -0.98               -0.95              -0.907
             -0.9964              -0.996              -0.978              -0.947              -0.902
             -0.9962              -0.996              -0.977              -0.944              -0.896
              -0.996              -0.996              -0.976              -0.941              -0.891
             -0.9958              -0.996              -0.975              -0.938              -0.886
             -0.9956              -0.996              -0.974              -0.935               -0.88
             -0.9954              -0.995              -0.973              -0.932              -0.875
             -0.9952              -0.995              -0.971              -0.929               -0.87
           -0.994999              -0.995               -0.97              -0.926              -0.865
           -0.994799              -0.995              -0.969              -0.923              -0.859
           -0.994599              -0.995              -0.968              -0.921              -0.854
           -0.994399              -0.994              -0.967              -0.918              -0.849
           -0.994199              -0.994              -0.965              -0.915              -0.844
           -0.993999              -0.994              -0.964              -0.912              -0.839
           -0.993799              -0.994              -0.963              -0.909              -0.834
           -0.993599              -0.994              -0.962              -0.906              -0.828
           -0.993399              -0.993              -0.961              -0.903              -0.823
           -0.993199              -0.993               -0.96                -0.9              -0.818
           -0.992999              -0.993              -0.958              -0.898              -0.813
           -0.992799              -0.993              -0.957              -0.895              -0.808
           -0.992599              -0.993              -0.956              -0.892              -0.803
           -0.992399              -0.992              -0.955              -0.889              -0.798
           -0.992199              -0.992              -0.954              -0.886              -0.793
           -0.991999              -0.992              -0.952              -0.883              -0.788
           -0.991799              -0.992              -0.951               -0.88              -0.783
           -0.991599              -0.992               -0.95              -0.878              -0.778
           -0.991399              -0.991              -0.949              -0.875              -0.773
           -0.991199              -0.991              -0.948              -0.872              -0.768
           -0.990999              -0.991              -0.947              -0.869              -0.763
           -0.990799              -0.991              -0.945              -0.866              -0.758
           -0.990599              -0.991              -0.944              -0.864              -0.753
           -0.990399               -0.99              -0.943              -0.861              -0.748
           -0.990199               -0.99              -0.942              -0.858              -0.743
           -0.989999               -0.99              -0.941              -0.855              -0.738
           -0.989799               -0.99               -0.94              -0.852              -0.733
           -0.989599               -0.99              -0.938               -0.85              -0.729
           -0.989399              -0.989              -0.937              -0.847              -0.724
           -0.989199              -0.989              -0.936              -0.844              -0.719
           -0.988999              -0.989              -0.935              -0.841              -0.714
           -0.988799              -0.989              -0.934              -0.838              -0.709
           -0.988599              -0.989              -0.933              -0.836              -0.705
           -0.988399              -0.988              -0.931              -0.833                -0.7
           -0.988199              -0.988               -0.93               -0.83              -0.695
           -0.987999              -0.988              -0.929              -0.827               -0.69
           -0.987799              -0.988              -0.928              -0.825              -0.686
           -0.987599              -0.988              -0.927              -0.822              -0.681
           -0.987399              -0.987              -0.926              -0.819              -0.676
           -0.987199              -0.987              -0.924              -0.816              -0.671
           -0.986999              -0.987              -0.923              -0.814              -0.667
           -0.986799              -0.987              -0.922              -0.811              -0.662
           -0.986599              -0.987              -0.921              -0.808              -0.657
           -0.986399              -0.986               -0.92              -0.806              -0.653
           -0.986199              -0.986              -0.919              -0.803              -0.648
           -0.985999              -0.986              -0.917                -0.8              -0.644
           -0.985799              -0.986              -0.916              -0.797              -0.639
           -0.985599              -0.986              -0.915              -0.795              -0.634
           -0.985399              -0.985              -0.914              -0.792               -0.63
           -0.985199              -0.985              -0.913              -0.789              -0.625
           -0.984998              -0.985              -0.912              -0.787              -0.621
           -0.984798              -0.985              -0.911              -0.784              -0.616
           -0.984598              -0.985              -0.909              -0.781              -0.612
           -0.984398              -0.984              -0.908              -0.778              -0.607
           -0.984198              -0.984              -0.907              -0.776              -0.603
           -0.983998              -0.984              -0.906              -0.773              -0.598
           -0.983798              -0.984              -0.905               -0.77              -0.594
           -0.983598              -0.984              -0.904              -0.768              -0.589
           -0.983398              -0.983              -0.902              -0.765              -0.585
           -0.983198              -0.983              -0.901              -0.762               -0.58
           -0.982998              -0.983                -0.9               -0.76              -0.576
           -0.982798              -0.983              -0.899              -0.757              -0.572
           -0.982598              -0.983              -0.898              -0.755              -0.567
           -0.982398              -0.982              -0.897              -0.752              -0.563
           -0.982198              -0.982              -0.896              -0.749              -0.559
           -0.981998              -0.982              -0.894              -0.747              -0.554
           -0.981798              -0.982              -0.893              -0.744               -0.55
           -0.981598              -0.982              -0.892              -0.741              -0.546
           -0.981398              -0.981              -0.891              -0.739              -0.541
           -0.981198              -0.981               -0.89              -0.736              -0.537
           -0.980998              -0.981              -0.889              -0.733              -0.533
           -0.980798              -0.981              -0.888              -0.731              -0.528
           -0.980598              -0.981              -0.886              -0.728              -0.524
           -0.980398               -0.98              -0.885              -0.726               -0.52
           -0.980198               -0.98              -0.884              -0.723              -0.516
           -0.979998               -0.98              -0.883               -0.72              -0.511
           -0.979798               -0.98              -0.882              -0.718              -0.507
           -0.979598               -0.98              -0.881              -0.715              -0.503
           -0.979398              -0.979               -0.88              -0.713              -0.499
           -0.979198              -0.979              -0.878               -0.71              -0.495
           -0.978998              -0.979              -0.877              -0.707              -0.491
           -0.978798              -0.979              -0.876              -0.705              -0.486
           -0.978598              -0.979              -0.875              -0.702              -0.482
           -0.978398              -0.978              -0.874                -0.7              -0.478
           -0.978198              -0.978              -0.873              -0.697              -0.474
           -0.977998              -0.978              -0.872              -0.695               -0.47
           -0.977798              -0.978               -0.87              -0.692              -0.466
           -0.977598              -0.978              -0.869               -0.69              -0.462
           -0.977398              -0.977              -0.868              -0.687              -0.458
           -0.977198              -0.977              -0.867              -0.684              -0.454
           -0.976998              -0.977              -0.866              -0.682               -0.45
           -0.976798              -0.977              -0.865              -0.679              -0.446
           -0.976598              -0.977              -0.864              -0.677              -0.442
           -0.976398              -0.976              -0.863              -0.674              -0.438
           -0.976198              -0.976              -0.861              -0.672              -0.434
           -0.975998              -0.976               -0.86              -0.669               -0.43
           -0.975798              -0.976              -0.859              -0.667              -0.426
           -0.975598              -0.976              -0.858              -0.664              -0.422
           -0.975398              -0.975              -0.857              -0.662              -0.418
           -0.975198              -0.975              -0.856              -0.659              -0.414
           -0.974997              -0.975              -0.855              -0.657               -0.41
           -0.974797              -0.975              -0.854              -0.654              -0.406
           -0.974597              -0.975              -0.852              -0.652              -0.402
           -0.974397              -0.974              -0.851              -0.649              -0.399
           -0.974197              -0.974               -0.85              -0.647              -0.395
           -0.973997              -0.974              -0.849              -0.644              -0.391
           -0.973797              -0.974              -0.848              -0.642              -0.387
           -0.973597              -0.974              -0.847              -0.639              -0.383
           -0.973397              -0.973              -0.846              -0.637              -0.379
           -0.973197              -0.973              -0.845              -0.634              -0.376
           -0.972997              -0.973              -0.843              -0.632              -0.372
           -0.972797              -0.973              -0.842              -0.629              -0.368
           -0.972597              -0.973              -0.841              -0.627              -0.364
           -0.972397              -0.972               -0.84              -0.625               -0.36
           -0.972197              -0.972              -0.839              -0.622              -0.357
           -0.971997              -0.972              -0.838               -0.62              -0.353
           -0.971797              -0.972              -0.837              -0.617              -0.349
