              x          T3(x)          T5(x)          T7(x)          T9(x)
             -1             -1             -1             -1             -1
         -0.998      -0.982048      -0.950399      -0.903559      -0.842276
         -0.996      -0.964192      -0.901591      -0.810197      -0.692929
         -0.994      -0.946431       -0.85357       -0.71986      -0.551701
         -0.992      -0.928766      -0.806329      -0.632493      -0.418339
          -0.99      -0.911196      -0.759861      -0.548041      -0.292597
         -0.988      -0.893721       -0.71416       -0.46645      -0.174231
         -0.986      -0.876341      -0.669219      -0.387669      -0.063004
         -0.984      -0.859056      -0.625032      -0.311644      0.0413152
         -0.982      -0.841865      -0.581592      -0.238324       0.138954
          -0.98      -0.824768      -0.538893      -0.167657       0.230136
         -0.978      -0.807765      -0.496928     -0.0995932       0.315077
         -0.976      -0.790857      -0.455691     -0.0340826       0.393991
         -0.974      -0.774042      -0.415176      0.0289242       0.467086
         -0.972       -0.75732      -0.375376      0.0894759       0.534565
          -0.97      -0.740692      -0.336284       0.147621       0.596628
         -0.968      -0.724157      -0.297896       0.203406        0.65347
         -0.966      -0.707715      -0.260204        0.25688        0.70528
         -0.964      -0.691365      -0.223202       0.308087       0.752244
         -0.962      -0.675109      -0.186883       0.357075       0.794545
          -0.96      -0.658944      -0.151243       0.403888       0.832359
         -0.958      -0.642872      -0.116275        0.44857       0.865861
         -0.956      -0.626891     -0.0819714       0.491168       0.895219
         -0.954      -0.611003     -0.0483279       0.531723         0.9206
         -0.952      -0.595206     -0.0153377       0.570279       0.942164
          -0.95        -0.5795       0.017005       0.606878       0.960069
         -0.948      -0.563886      0.0487063       0.641563       0.974469
         -0.946      -0.548362      0.0797721       0.674375       0.985514
         -0.944       -0.53293       0.110208       0.705355       0.993351
         -0.942      -0.517588       0.140021       0.734544       0.998122
          -0.94      -0.502336       0.169216        0.76198       0.999967
         -0.938      -0.487175       0.197798       0.787705       0.999022
         -0.936      -0.472103       0.225775       0.811756       0.995418
         -0.934      -0.457122       0.253151       0.834172       0.989284
         -0.932       -0.44223       0.279933       0.854991       0.980747
          -0.93      -0.427428       0.306126        0.87425       0.969929
         -0.928      -0.412715       0.331736       0.891986       0.956948
         -0.926      -0.398091       0.356768       0.908235       0.941921
         -0.924      -0.383556       0.381228       0.923034        0.92496
         -0.922       -0.36911       0.405122       0.936417       0.906176
          -0.92      -0.354752       0.428456        0.94842       0.885675
         -0.918      -0.340483       0.451234       0.959077       0.863561
         -0.916      -0.326301       0.473463       0.968422       0.839935
         -0.914      -0.312208       0.495147       0.976489       0.814895
         -0.912      -0.298202       0.516293        0.98331       0.788536
          -0.91      -0.284284       0.536906       0.988919       0.760952
         -0.908      -0.270453       0.556991       0.993347       0.732231
         -0.906       -0.25671       0.576553       0.996626        0.70246
         -0.904      -0.243053       0.595599       0.998787       0.671726
         -0.902      -0.229483       0.614133       0.999861       0.640109
           -0.9         -0.216        0.63216       0.999878       0.607689
         -0.898      -0.202603       0.649686       0.998869       0.574544
         -0.896      -0.189293       0.666717       0.996863       0.540747
         -0.894      -0.176068       0.683257       0.993888       0.506371
         -0.892      -0.162929       0.699311       0.989973       0.471487
